timestamp,velocity_front_left_wheel_joint,position_front_left_wheel_joint,velocity_front_right_wheel_joint,position_front_right_wheel_joint,velocity_rear_left_wheel_joint,position_rear_left_wheel_joint,velocity_rear_right_wheel_joint,position_rear_right_wheel_joint
1764241672.4948964,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.5316505,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.5816686,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.6121097,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.6518083,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.6915429,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.7319338,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.7781966,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.811787,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.8516748,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.891575,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.9331212,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241672.9750788,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.0116787,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.0516381,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.0916831,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.131644,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.1781697,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.2118392,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.2517223,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.291694,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.3317711,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.375002,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.4116728,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.4515717,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.491552,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.531585,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.581554,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.6116636,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.651672,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.6917138,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.7317295,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.7727833,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.8118234,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.851609,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.8916404,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.932109,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241673.9751308,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.011745,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.0516417,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.091695,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.1316183,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.1726928,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.2117896,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.2515996,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.2916744,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
1764241674.3316941,0.0,16.20172336413432,0.0,22.952454110300902,0.0,15.951013707642977,0.0,22.977516003092344
